"Id","SWEETORSOUR"
1,0.632417418295518
2,0.936305527342483
3,0.849716518307105
4,0.569432233227417
5,0.606053942348808
6,0.550751122413203
7,0.390369802480564
8,0.155603305436671
9,0.664358083857223
10,0.24612388247624
11,0.502057968638837
12,0.426093496382236
13,0.29067123751156
14,0.735541292000562
15,0.489036550046876
16,0.274567460175604
17,0.856393283233047
18,0.11874102964066
19,0.757386007811874
20,0.392239989247173
21,0.237119087250903
22,0.608814664417878
23,0.968489268096164
24,0.245633398881182
25,0.865446399431676
26,0.679440707666799
27,0.85982178687118
28,0.475521623156965
29,0.913872133241966
30,0.0559414669405669
31,0.808600757736713
32,0.760972011601552
33,0.191894037416205
34,0.120527782477438
35,0.727038374403492
36,0.414925568271428
37,0.100616944488138
38,0.820746575016528
39,0.220917626516894
40,0.30539301619865
41,0.15868911636062
42,0.354724259348586
43,0.106172078289092
44,0.643886538688093
45,0.299186949152499
46,0.609827588777989
47,0.0944292927160859
48,0.0566460818517953
49,0.73160566133447
50,0.570879673119634
51,0.385566875338554
52,0.463188398396596
53,0.346414740197361
54,0.977629588218406
55,0.520057424670085
56,0.440379111561924
57,0.640421828953549
58,0.988212201045826
59,0.22439274401404
60,0.148191020824015
61,0.100735252955928
62,0.266496393363923
63,0.574159387964755
64,0.633026626892388
65,0.304384949849918
66,0.328864965587854
67,0.313626087503508
68,0.629217881476507
